23;23;22;23;21;3;16;18;21;20;18;20;22;24;17;11;24;23;24;21;21;23;18;10;7;10;7;7;7;7;7;23;23;22;23;22;22;23;23;23;23;23;23;23;24;23;24;23;24;23;23;22;22;21;19;23;24;24;23;23;23;23;23;23;23;23;23;23;23;20;18;24;22;22;23;5;4;18;18;18;18;18;18;18;18;20;22;20;20;20;22;20;20;20;23;23;9;22;9;11;24;24;23;24;23
22;22;22;23;21;14;16;16;20;18;18;20;20;24;11;11;24;23;23;21;19;20;20;10;7;10;7;7;7;7;18;24;23;23;23;23;24;23;23;23;23;22;22;21;19;16;19;16;12;12;8;8;13;6;4;9;15;21;23;24;24;23;23;23;23;23;23;23;23;23;24;24;23;24;11;1;20;20;20;20;20;20;20;20;20;22;22;22;22;20;22;20;22;23;23;22;1;22;4;21;24;24;24;23;23
23;23;23;23;21;16;16;18;22;20;20;18;21;24;11;17;24;21;23;21;19;19;23;18;7;7;7;10;7;7;20;23;21;21;16;17;12;13;13;6;6;13;6;6;8;8;8;12;12;14;16;16;7;16;18;16;15;5;9;15;21;24;24;23;23;23;23;23;23;23;23;24;24;17;1;22;20;20;20;20;22;22;20;22;22;22;23;22;23;23;23;23;23;20;24;19;15;22;17;24;23;22;22;22;22
23;23;23;22;21;22;18;18;20;22;23;18;21;23;11;21;24;17;22;21;21;19;19;20;7;10;7;10;7;10;20;6;4;6;6;6;6;8;8;8;12;12;16;16;18;16;16;16;18;16;16;16;16;16;14;16;20;18;16;4;2;8;22;24;23;23;23;23;23;23;24;24;22;9;21;24;22;22;22;23;22;23;23;23;23;23;23;23;23;23;23;23;23;20;23;19;17;21;22;22;21;21;22;22;22
24;24;24;23;23;23;20;18;20;20;20;22;21;23;11;22;23;11;22;19;19;22;9;22;10;7;10;7;7;18;22;8;14;16;14;16;16;16;16;18;16;16;16;14;16;14;16;14;16;14;7;14;14;14;7;14;14;3;7;7;7;2;3;23;23;23;23;23;23;23;23;23;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;11;11;21;21;21;22;22;22;22;22
21;15;15;13;13;11;6;16;18;12;19;22;21;20;5;22;23;9;22;19;15;20;9;17;24;7;7;7;7;18;20;8;14;14;12;16;14;14;14;14;14;14;14;14;3;14;3;3;3;3;14;3;7;3;3;3;3;3;3;3;3;7;20;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;23;23;23;23;23;23;23;23;23;22;24;17;9;21;22;22;22;22;22;22;22;22
8;6;6;6;13;12;16;20;12;16;16;22;21;21;5;21;23;5;22;21;9;22;17;5;24;18;7;7;7;20;19;3;14;14;14;14;3;3;3;3;3;3;3;3;7;7;16;16;14;3;7;3;3;7;7;16;16;18;22;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;21;5;17;21;21;22;22;22;22;22;22;22
20;20;20;20;20;22;23;20;16;16;16;22;24;21;6;21;23;9;21;22;9;19;22;1;21;24;7;7;7;23;16;3;3;3;3;3;3;3;3;3;3;7;18;20;23;23;23;23;22;22;22;20;20;22;23;24;23;23;23;23;23;23;23;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;19;11;17;21;22;22;22;22;22;22;22;22
23;23;22;20;18;23;22;21;16;16;8;18;24;21;8;21;23;15;19;23;19;9;19;19;17;24;18;3;7;23;14;3;3;3;3;7;14;7;16;16;20;23;23;22;22;22;22;22;22;23;22;23;23;23;23;22;23;23;22;23;22;23;22;23;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;22;21;22;22;22;22;22;22;22;22
23;23;18;16;23;22;14;21;16;3;3;16;23;18;12;21;24;17;21;24;19;20;9;19;24;23;23;7;7;23;14;14;16;20;22;22;22;22;22;23;22;22;21;21;21;22;22;22;22;22;22;22;22;22;23;22;23;22;23;23;22;23;23;23;23;23;23;23;24;23;24;24;24;23;24;23;24;23;23;23;23;23;23;23;23;23;23;23;23;24;23;24;24;24;23;22;21;21;22;22;22;22;22;22;22
16;12;16;23;16;14;16;16;3;16;16;12;23;18;12;23;24;21;21;22;19;11;20;5;19;24;22;18;3;22;15;21;23;22;22;22;22;22;22;21;21;21;21;22;22;22;22;22;22;22;22;22;22;23;22;23;23;24;23;23;24;24;23;23;23;23;23;22;22;22;21;21;22;23;23;23;23;23;24;23;24;23;24;23;24;23;24;23;23;22;22;22;21;19;19;19;22;22;22;22;22;22;22;22;22
6;4;22;23;7;3;7;7;14;23;19;12;21;21;12;22;24;22;21;19;21;9;19;21;1;19;23;18;7;21;15;22;22;21;21;22;22;22;22;22;22;22;22;22;22;22;22;22;23;23;23;23;24;24;23;24;22;21;21;21;19;17;17;17;17;17;17;17;17;17;17;17;17;19;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;19;17;19;21;22;22;21;22;22;22;22;22;22;22
12;19;13;6;20;10;7;7;18;22;6;19;21;19;18;22;23;22;22;19;17;21;19;15;21;5;19;16;20;19;15;23;21;22;22;23;22;22;23;22;23;23;23;23;23;23;23;23;22;22;21;22;19;17;17;15;9;5;5;5;5;5;9;9;11;15;17;19;19;19;21;21;21;21;21;21;19;21;19;19;21;19;21;19;19;21;19;21;21;21;21;21;22;22;22;21;22;22;22;21;22;22;22;22;22
17;23;18;15;4;18;18;16;21;22;6;19;21;16;21;22;24;22;22;21;15;15;24;9;17;22;5;12;20;17;21;23;23;23;23;22;23;22;21;22;21;19;19;17;17;17;15;11;9;5;5;5;5;1;5;5;5;9;9;11;11;11;15;11;15;17;19;21;21;21;21;21;21;19;21;21;21;21;19;21;21;21;21;21;21;21;21;21;21;21;22;21;21;21;21;22;22;22;22;22;22;22;22;22;22
4;23;20;24;15;12;20;16;21;21;11;19;17;18;20;23;23;22;24;21;13;4;23;23;1;22;20;12;22;17;15;15;15;15;11;11;9;9;9;5;5;5;5;5;1;5;1;5;5;5;5;5;9;9;9;9;11;9;11;9;11;11;11;15;15;17;19;19;17;19;21;19;19;21;22;22;21;21;19;21;19;21;19;21;21;21;21;21;22;21;21;21;22;22;21;22;22;22;22;22;22;21;22;22;22
